file_name	seed	formula_x	formula_y
2021-01-04-23-50_seed_2835.png	2835	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^2
2021-01-04-23-51_seed_8903.png	8903	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^2
2021-01-04-23-51_seed_4881.png	4881	runif(1, -1, 10) * y_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^2
2021-01-04-23-53_seed_2564.png	2564	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y
2021-01-04-23-53_seed_8278.png	8278	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-53_seed_8765.png	8765	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-53_seed_1509.png	1509	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-53_seed_7051.png	7051	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-53_seed_8397.png	8397	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-54_seed_3490.png	3490	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * x_i^3 - cos(x_i^2) * y_i
2021-01-04-23-54_seed_3538.png	3538	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * x_i^3 - cos(x_i^2) * y_i
2021-01-04-23-54_seed_5765.png	5765	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * x_i^3 - cos(x_i^2) * y_i
2021-01-04-23-55_seed_1484.png	1484	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * x_i^3 - cos(x_i^2) * y_i
2021-01-04-23-55_seed_4505.png	4505	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * x_i^3 - cos(x_i^2) * y_i
2021-01-04-23-55_seed_7616.png	7616	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * x_i^3 - cos(x_i^2) * y_i
2021-01-04-23-55_seed_7176.png	7176	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * x_i^3 - cos(x_i^2) * y_i
2021-01-04-23-55_seed_1515.png	1515	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * x_i^3 - cos(x_i^2) * y_i
2021-01-04-23-55_seed_4538.png	4538	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * x_i^3 - cos(x_i^2) * y_i
2021-01-04-23-56_seed_3060.png	3060	runif(1, -1, 10) * y_i + sin(y_i^2)	runif(1, -1, 10) * x_i^3 - cos(x_i^2) * y_i
2021-01-04-23-56_seed_7152.png	7152	runif(1, -1, 10) * y_i + sin(y_i^2) * x_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-56_seed_8934.png	8934	runif(1, -1, 10) * y_i + sin(y_i^2) * x_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
2021-01-04-23-56_seed_3457.png	3457	runif(1, -1, 10) * y_i + sin(y_i^2) * x_i	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i
